BindingDB_12	BEROCCA PN; BIOTIN
BindingDB_50028421	PERGOLIDE MESYLATE; PERGOLIDE MESYLATE
BindingDB_50029048	ARESTOCAINE HYDROCHLORIDE W/ LEVONORDEFRIN; LEVONORDEFRIN
BindingDB_50029050	ADRENALIN; EPINEPHRINE
BindingDB_50029764	ACZONE; DAPSONE
BindingDB_50029770	AZO GANTANOL; SULFAMETHOXAZOLE
BindingDB_50029923	ARICEPT; DONEPEZIL HYDROCHLORIDE
BindingDB_50030448	PROGRAF; TACROLIMUS
BindingDB_50030612	HIWOLFIA; RAUWOLFIA SERPENTINA ROOT
BindingDB_50031299	LAMICTAL; LAMOTRIGINE
BindingDB_50031459	ABSORICA; ISOTRETINOIN
BindingDB_50031720	TIKOSYN; DOFETILIDE
BindingDB_50031942	SANSERT; METHYSERGIDE MALEATE
BindingDB_50032675	TARGRETIN; BEXAROTENE
BindingDB_50033369	SYMADINE; AMANTADINE HYDROCHLORIDE
BindingDB_50033383	ZOLMITRIPTAN; ZOLMITRIPTAN
BindingDB_50034026	HYCAMTIN; TOPOTECAN HYDROCHLORIDE
BindingDB_50034043	FANAPT; ILOPERIDONE
BindingDB_50034452	AZO GANTRISIN; SULFISOXAZOLE
BindingDB_50034562	TEMODAR; TEMOZOLOMIDE
BindingDB_50035218	CONDYLOX; PODOFILOX
BindingDB_50035696	MOZOBIL; PLERIXAFOR
BindingDB_50036754	CALCIUM CARBONATE, FAMOTIDINE AND MAGNESIUM HYDROXIDE; FAMOTIDINE
BindingDB_50036786	ABRAXANE; PACLITAXEL
BindingDB_50037268	CARNITOR; LEVOCARNITINE
BindingDB_50038001	ACOVA; ARGATROBAN
BindingDB_50038178	SEROMYCIN; CYCLOSERINE
BindingDB_50039162	ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE; LAMIVUDINE
BindingDB_50039251	GABITRIL; TIAGABINE HYDROCHLORIDE
BindingDB_50040186	CHLORPROMAZINE HYDROCHLORIDE; CHLORPROMAZINE HYDROCHLORIDE
BindingDB_50041234	8-MOP; METHOXSALEN
BindingDB_50042235	AVALIDE; IRBESARTAN
BindingDB_50043280	MICARDIS; TELMISARTAN
BindingDB_50044140	KETALAR; KETAMINE HYDROCHLORIDE
BindingDB_50045000	CHIBROXIN; NORFLOXACIN
BindingDB_50045004	FLOXIN; OFLOXACIN
BindingDB_50045776	REVEX; NALMEFENE HYDROCHLORIDE
BindingDB_50048280	ADAPALENE; ADAPALENE
BindingDB_50048803	GEODON; ZIPRASIDONE HYDROCHLORIDE
BindingDB_50049186	AMLODIPINE BESYLATE AND VALSARTAN; VALSARTAN
BindingDB_50049240	PIOGLITAZONE; PIOGLITAZONE HYDROCHLORIDE
BindingDB_50049707	CEFTRIAXONE; CEFTRIAXONE SODIUM
BindingDB_50049708	IMIPENEM AND CILASTATIN; IMIPENEM
BindingDB_50053173	ZOSYN; PIPERACILLIN SODIUM
BindingDB_50053711	OLANZAPINE; OLANZAPINE
BindingDB_50054601	ARAVA; LEFLUNOMIDE
BindingDB_50055191	ENLON; EDROPHONIUM CHLORIDE
BindingDB_50055935	NEMBUTAL; PENTOBARBITAL
BindingDB_50056998	MELOXICAM; MELOXICAM
BindingDB_50057660	EVISTA; RALOXIFENE HYDROCHLORIDE
BindingDB_50058046	DIPRIVAN; PROPOFOL
BindingDB_50058655	ANTABUSE; DISULFIRAM
BindingDB_50059353	GLUCAGON; GLUCAGON HYDROCHLORIDE
BindingDB_50059901	EDROPHONIUM CHLORIDE; EDROPHONIUM CHLORIDE
BindingDB_50060582	SYNCURINE; DECAMETHONIUM BROMIDE
BindingDB_50061101	TRACLEER; BOSENTAN
BindingDB_50061306	VIRACEPT; NELFINAVIR MESYLATE
BindingDB_50062259	VESPRIN; TRIFLUPROMAZINE
BindingDB_50062261	TEMARIL; TRIMEPRAZINE TARTRATE
BindingDB_50062598	KEMADRIN; PROCYCLIDINE HYDROCHLORIDE
BindingDB_50062599	MEMANTINE; MEMANTINE
BindingDB_50062614	DISIPAL; ORPHENADRINE HYDROCHLORIDE
BindingDB_50062912	DAYTRANA; METHYLPHENIDATE
BindingDB_50067133	RYTHMOL; PROPAFENONE HYDROCHLORIDE
BindingDB_50067678	AMEN; MEDROXYPROGESTERONE ACETATE
BindingDB_50068561	RAPAMUNE; SIROLIMUS
BindingDB_50069989	VELCADE; BORTEZOMIB
BindingDB_50070114	THALOMID; THALIDOMIDE
BindingDB_50070490	CILOSTAZOL; CILOSTAZOL
BindingDB_50071183	ARTANE; TRIHEXYPHENIDYL HYDROCHLORIDE
BindingDB_50072418	KINEVAC; SINCALIDE
BindingDB_50073179	CLARINEX; DESLORATADINE
BindingDB_50073682	NARATRIPTAN; NARATRIPTAN
BindingDB_50073689	FROVA; FROVATRIPTAN SUCCINATE
BindingDB_50074329	ACETIC ACID; ACETIC ACID, GLACIAL
BindingDB_50074922	ANSAID; FLURBIPROFEN
BindingDB_50076329	ULTRACET; ACETAMINOPHEN
BindingDB_50077309	DANTRIUM; DANTROLENE SODIUM
BindingDB_50078687	VIOXX; ROFECOXIB
BindingDB_50080153	GABAPENTIN; GABAPENTIN
BindingDB_50084622	FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE; FOSINOPRIL
BindingDB_50084643	LISINOPRIL; LISINOPRIL
BindingDB_50084673	UNIRETIC; HYDROCHLOROTHIAZIDE
BindingDB_50084681	ALTACE; RAMIPRIL
BindingDB_50085042	ANTARA (MICRONIZED); FENOFIBRATE
BindingDB_50085045	PRELAY; TROGLITAZONE
BindingDB_50085047	ATROMID-S; CLOFIBRATE
BindingDB_50087289	CYTARABINE; CYTARABINE
BindingDB_50087845	GLUCAGON; GLUCAGON HYDROCHLORIDE
BindingDB_50088238	RIFADIN; RIFAMPIN
BindingDB_50088804	ORFADIN; NITISINONE
BindingDB_50090256	ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE; ASCORBIC ACID
BindingDB_50090265	AKTOB; TOBRAMYCIN
BindingDB_50090676	PROFENAL; SUPROFEN
BindingDB_50090677	SULFABID; SULFAPHENAZOLE
BindingDB_50092056	ALPHALIN; VITAMIN A PALMITATE
BindingDB_50092098	INTEGRILIN; EPTIFIBATIDE
BindingDB_50092137	RELENZA; ZANAMIVIR
BindingDB_50094071	SAMSCA; TOLVAPTAN
BindingDB_50094422	METHAZOLAMIDE; METHAZOLAMIDE
BindingDB_50096846	HALFAN; HALOFANTRINE HYDROCHLORIDE
BindingDB_50097045	RESCRIPTOR; DELAVIRDINE MESYLATE
BindingDB_50097125	AZULFIDINE; SULFASALAZINE
BindingDB_50097346	RIMADYL; CARPROFEN
BindingDB_50098571	GLUCAGON; GLUCAGON HYDROCHLORIDE
BindingDB_50099857	LITHOSTAT; ACETOHYDROXAMIC ACID
BindingDB_50102092	IRESSA; GEFITINIB
BindingDB_50102442	PLENAXIS; ABARELIX
BindingDB_50102454	GANIRELIX ACETATE INJECTION; GANIRELIX ACETATE
BindingDB_50103642	INTELENCE; ETRAVIRINE
BindingDB_50105067	IMODIUM; LOPERAMIDE HYDROCHLORIDE
BindingDB_50105074	BUPRENEX; BUPRENORPHINE HYDROCHLORIDE
BindingDB_50105085	NALBUPHINE; NALBUPHINE HYDROCHLORIDE
BindingDB_50105417	NARDIL; PHENELZINE SULFATE
BindingDB_50106545	BIAXIN; CLARITHROMYCIN
BindingDB_50108877	TASMAR; TOLCAPONE
BindingDB_50108879	CARBIDOPA, LEVODOPA AND ENTACAPONE; ENTACAPONE
BindingDB_50109647	ENABLEX; DARIFENACIN HYDROBROMIDE
BindingDB_50109750	COARTEM; LUMEFANTRINE
BindingDB_50110590	GEMFIBROZIL; GEMFIBROZIL
BindingDB_50111005	ACTOPLUS MET; PIOGLITAZONE HYDROCHLORIDE
BindingDB_50111900	LEVITRA; VARDENAFIL HYDROCHLORIDE
BindingDB_50112212	FLUOTHANE; HALOTHANE
BindingDB_50113316	EVANS BLUE; EVANS BLUE
BindingDB_50115102	DIDRONEL; ETIDRONATE DISODIUM
BindingDB_50115644	MIRTAZAPINE; MIRTAZAPINE
BindingDB_50116067	LINEZOLID; LINEZOLID
BindingDB_50117271	MEXITIL; MEXILETINE HYDROCHLORIDE
BindingDB_50117914	GATIFLOXACIN; GATIFLOXACIN
BindingDB_50117924	RAXAR; GREPAFLOXACIN HYDROCHLORIDE
BindingDB_50118224	MEMBRANEBLUE; TRYPAN BLUE
BindingDB_50118470	ROZEREM; RAMELTEON
BindingDB_50118702	ORVATEN; MIDODRINE HYDROCHLORIDE
BindingDB_50118886	SABRIL; VIGABATRIN
BindingDB_50121347	MINTEZOL; THIABENDAZOLE
BindingDB_50121975	CARDIOQUIN; QUINIDINE POLYGALACTURONATE
BindingDB_50121976	EXTINA; KETOCONAZOLE
BindingDB_50123626	NEUPRO; ROTIGOTINE
BindingDB_50125935	AMIDATE; ETOMIDATE
BindingDB_50125938	AMIDATE; ETOMIDATE
BindingDB_50125977	ALENDRONATE SODIUM; ALENDRONATE SODIUM
BindingDB_50126115	AMEN; MEDROXYPROGESTERONE ACETATE
BindingDB_50127138	ITRACONAZOLE; ITRACONAZOLE
BindingDB_50127140	ETOPOSIDE; ETOPOSIDE
BindingDB_50127141	A/T/S; ERYTHROMYCIN
BindingDB_50128267	CAMPTOSAR; IRINOTECAN HYDROCHLORIDE
BindingDB_50128947	ABACAVIR; ABACAVIR
BindingDB_50129732	AVANDAMET; ROSIGLITAZONE MALEATE
BindingDB_50130273	ETRAFON 2-10; PERPHENAZINE
BindingDB_50130290	MOBAN; MOLINDONE HYDROCHLORIDE
BindingDB_50130293	ABILIFY; ARIPIPRAZOLE
BindingDB_50130829	STAPHCILLIN; METHICILLIN SODIUM
BindingDB_50130852	VELBAN; VINBLASTINE SULFATE
BindingDB_50131270	EULEXIN; FLUTAMIDE
BindingDB_50131426	ZAGAM; SPARFLOXACIN
BindingDB_50131428	AVELOX; MOXIFLOXACIN HYDROCHLORIDE
BindingDB_50131429	LOTRONEX; ALOSETRON HYDROCHLORIDE
BindingDB_50131432	CORVERT; IBUTILIDE FUMARATE
BindingDB_50131434	TAMBOCOR; FLECAINIDE ACETATE
BindingDB_50131440	SERENTIL; MESORIDAZINE BESYLATE
BindingDB_50131445	IQUIX; LEVOFLOXACIN
BindingDB_50131552	NEOPASALATE; AMINOSALICYLIC ACID
BindingDB_50131720	PHENAZINE; PHENDIMETRAZINE TARTRATE
BindingDB_50132298	TRIFLURIDINE; TRIFLURIDINE
BindingDB_50133129	ROSIGLITAZONE; ROSIGLITAZONE MALEATE
BindingDB_50133359	EXELDERM; SULCONAZOLE NITRATE
BindingDB_50134035	BENZYL BENZOATE; BENZYL BENZOATE
BindingDB_50134036	MEFENAMIC ACID; MEFENAMIC ACID
BindingDB_50135912	NILANDRON; NILUTAMIDE
BindingDB_50139181	EZETIMIBE; SIMVASTATIN; SIMVASTATIN
BindingDB_50139804	RABEPRAZOLE; RABEPRAZOLE SODIUM
BindingDB_50139896	CEPHALEXIN; CEPHALEXIN
BindingDB_50142839	DEXMETHYLPHENIDATE HYDROCHLORIDE; DEXMETHYLPHENIDATE HYDROCHLORIDE
BindingDB_50143422	MEMBRANEBLUE; TRYPAN BLUE
BindingDB_50143424	FLUORESCITE; FLUORESCEIN SODIUM
BindingDB_50143428	EVANS BLUE; EVANS BLUE
BindingDB_50144770	ESTROGENIC SUBSTANCE; ESTRONE
BindingDB_50145605	HIVID; ZALCITABINE
BindingDB_50146710	LETAIRIS; AMBRISENTAN
BindingDB_50148732	ALYACEN 1/35; NORETHINDRONE
BindingDB_50148733	ASMANEX TWISTHALER; MOMETASONE FUROATE
BindingDB_50151720	FORADIL; FORMOTEROL FUMARATE
BindingDB_50153291	RIDAURA; AURANOFIN
BindingDB_50153520	METFORMIN HYDROCHLORIDE; REPAGLINIDE; REPAGLINIDE
BindingDB_50154375	COPEGUS; RIBAVIRIN
BindingDB_50155533	BAROS; SODIUM BICARBONATE
BindingDB_50155536	IRRIGATING SOLUTION G IN PLASTIC CONTAINER; SODIUM CARBONATE
BindingDB_50155537	BSS PLUS; SODIUM PHOSPHATE
BindingDB_50156055	LETAIRIS; AMBRISENTAN
BindingDB_50156939	LORELCO; PROBUCOL
BindingDB_50157692	PIPERACILLIN AND TAZOBACTAM; TAZOBACTAM SODIUM
BindingDB_50158336	GILENYA; FINGOLIMOD
BindingDB_50158425	ALIMTA; PEMETREXED
BindingDB_50158581	ACYCLOVIR; ACYCLOVIR
BindingDB_50159793	ACETATED RINGER'S IN PLASTIC CONTAINER; SODIUM ACETATE
BindingDB_50159794	DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER; SODIUM LACTATE
BindingDB_50159799	BALANCED SALT; SODIUM CITRATE
BindingDB_50159800	AMMONUL; SODIUM BENZOATE
BindingDB_50160154	RAPAFLO; SILODOSIN
BindingDB_50162126	ATROPINE AND DEMEROL; MEPERIDINE HYDROCHLORIDE
BindingDB_50164279	LYRICA; PREGABALIN
BindingDB_50165008	TOLTERODINE; TOLTERODINE TARTRATE
BindingDB_50165019	ANTUROL; OXYBUTYNIN
BindingDB_50165212	CONCERTA; METHYLPHENIDATE HYDROCHLORIDE
BindingDB_50166571	SULFADIAZINE; SULFADIAZINE
BindingDB_50169161	SUPRAX; CEFIXIME
BindingDB_50169172	CEFUROXIME; CEFUROXIME
BindingDB_50169176	CEFOXITIN; CEFOXITIN SODIUM
BindingDB_50169219	CEPHALOTHIN; CEPHALOTHIN SODIUM
BindingDB_50169743	FASLODEX; FULVESTRANT
BindingDB_50170644	CLOMID; CLOMIPHENE CITRATE
BindingDB_50170647	NAFTIN; NAFTIFINE HYDROCHLORIDE
BindingDB_50172756	EUTONYL; PARGYLINE HYDROCHLORIDE
BindingDB_50172757	EMSAM; SELEGILINE
BindingDB_50174159	CHANTIX; VARENICLINE TARTRATE
BindingDB_50174201	ARTHROTEC; DICLOFENAC SODIUM
BindingDB_50176263	ULTRACET; ACETAMINOPHEN
BindingDB_50178917	FACTIVE; GEMIFLOXACIN MESYLATE
BindingDB_50180753	MEBENDAZOLE; MEBENDAZOLE
BindingDB_50181473	NOXAFIL; POSACONAZOLE
BindingDB_50183273	STRIBILD; ELVITEGRAVIR
BindingDB_50186231	EDECRIN; ETHACRYNIC ACID
BindingDB_50187243	ALESSE; ETHINYL ESTRADIOL
BindingDB_50192229	ANHYDRON; CYCLOTHIAZIDE
BindingDB_50194601	HALOTEX; HALOPROGIN
BindingDB_50198085	QUALAQUIN; QUININE SULFATE
BindingDB_50200099	THIOGUANINE; THIOGUANINE
BindingDB_50200182	CALCIJEX; CALCITRIOL
BindingDB_50200452	AZOPT; BRINZOLAMIDE
BindingDB_50203188	ATOVAQUONE AND PROGUANIL HYDROCHLORIDE; ATOVAQUONE
BindingDB_50204265	DICUMAROL; DICUMAROL
BindingDB_50205308	DDAVP; DESMOPRESSIN ACETATE
BindingDB_50205990	OXYTOCIN; OXYTOCIN
BindingDB_50206509	BENEMID; PROBENECID
BindingDB_50215709	TESTOSTERONE PROPIONATE; TESTOSTERONE PROPIONATE
BindingDB_50216541	RIFATER; ISONIAZID
BindingDB_50219204	METHAZOLAMIDE; METHAZOLAMIDE
BindingDB_50219205	AZOPT; BRINZOLAMIDE
BindingDB_50220136	APREPITANT; APREPITANT
BindingDB_50221988	CRESTOR; ROSUVASTATIN CALCIUM
BindingDB_50221991	LIVALO; PITAVASTATIN CALCIUM
BindingDB_50221993	ATORVASTATIN CALCIUM; ATORVASTATIN CALCIUM
BindingDB_50224109	CELEBREX; CELECOXIB
BindingDB_50228080	ALDACTAZIDE; SPIRONOLACTONE
BindingDB_50232334	SELZENTRY; MARAVIROC
BindingDB_50240370	TRASICOR; OXPRENOLOL HYDROCHLORIDE
BindingDB_50240424	ETHOSUXIMIDE; ETHOSUXIMIDE
BindingDB_50240426	PIPERACILLIN; PIPERACILLIN SODIUM
BindingDB_50240480	AZACTAM; AZTREONAM
BindingDB_50240510	DIFLUNISAL; DIFLUNISAL
BindingDB_50240514	TARACTAN; CHLORPROTHIXENE
BindingDB_50240648	LATANOPROST; LATANOPROST
BindingDB_50240671	ZANAFLEX; TIZANIDINE HYDROCHLORIDE
BindingDB_50240750	PINDAC; PINACIDIL
BindingDB_50240772	PARNATE; TRANYLCYPROMINE SULFATE
BindingDB_50240849	ALDARA; IMIQUIMOD
BindingDB_50241085	ATNAA; ATROPINE
BindingDB_50241108	DIAZOXIDE; DIAZOXIDE
BindingDB_50241255	ALLOPURINOL; ALLOPURINOL
BindingDB_50241265	THYPINONE; PROTIRELIN
BindingDB_50241293	ALBENZA; ALBENDAZOLE
BindingDB_50241342	PROTONIX; PANTOPRAZOLE SODIUM
BindingDB_50241343	MAGNESIUM HYDROXIDE AND OMEPRAZOLE AND SODIUM BICARBONATE; OMEPRAZOLE
BindingDB_50241361	METHIMAZOLE; METHIMAZOLE
BindingDB_50241745	GALANTAMINE HYDROBROMIDE; GALANTAMINE HYDROBROMIDE
BindingDB_50242271	GLYSET; MIGLITOL
BindingDB_50244950	SUTENT; SUNITINIB MALATE
BindingDB_50247767	QUTENZA; CAPSAICIN
BindingDB_50250613	ACTIVELLA; ESTRADIOL
BindingDB_50252513	INVEGA; PALIPERIDONE
BindingDB_50253050	CANTIL; MEPENZOLATE BROMIDE
BindingDB_50253134	SHADE UVAGUARD; OXYBENZONE
BindingDB_50256450	ATOVAQUONE AND PROGUANIL HYDROCHLORIDE; ATOVAQUONE
BindingDB_50258516	ALAWAY; KETOTIFEN FUMARATE
BindingDB_50262234	CATAPRES-TTS-1; CLONIDINE
BindingDB_50265951	AVAGE; TAZAROTENE
BindingDB_50266708	ACILAC; LACTULOSE
BindingDB_50276568	DALGAN; DEZOCINE
BindingDB_50277889	KYPROLIS; CARFILZOMIB
BindingDB_50278699	ACETAZOLAMIDE; ACETAZOLAMIDE
BindingDB_50280155	MIRADON; ANISINDIONE
BindingDB_50280157	HEDULIN; PHENINDIONE
BindingDB_50287941	CESAMET; NABILONE
BindingDB_50290084	DIFFERIN; ADAPALENE
BindingDB_50290504	BUPROPION HYDROCHLORIDE; BUPROPION HYDROCHLORIDE
BindingDB_50290686	BACTROBAN; MUPIROCIN
BindingDB_50290811	CHLORZOXAZONE; CHLORZOXAZONE
BindingDB_50291990	TONOCARD; TOCAINIDE HYDROCHLORIDE
BindingDB_50292219	BETIMOL; TIMOLOL
BindingDB_50292411	ACTAHIST; PSEUDOEPHEDRINE HYDROCHLORIDE
BindingDB_50292627	ATIVAN; LORAZEPAM
BindingDB_50292708	COMPAZINE; PROCHLORPERAZINE
BindingDB_50293265	AZULFIDINE; SULFASALAZINE
BindingDB_50295287	TOLECTIN; TOLMETIN SODIUM
BindingDB_50295558	MICROSUL; SULFAMETHIZOLE
BindingDB_50295563	TAO; TROLEANDOMYCIN
BindingDB_50295572	ALUPENT; METAPROTERENOL SULFATE
BindingDB_50296346	ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE; IPRATROPIUM BROMIDE
BindingDB_50296358	PENETREX; ENOXACIN
BindingDB_50297923	ACETAZOLAMIDE; ACETAZOLAMIDE
BindingDB_50299207	MINIPRESS; PRAZOSIN HYDROCHLORIDE
BindingDB_50300204	VIMPAT; LACOSAMIDE
BindingDB_50300242	EDECRIN; ETHACRYNIC ACID
BindingDB_50302225	ESCITALOPRAM; ESCITALOPRAM OXALATE
BindingDB_50304534	ERGAMISOL; LEVAMISOLE HYDROCHLORIDE
BindingDB_50304662	LIVALO; PITAVASTATIN CALCIUM
BindingDB_50305286	QUTENZA; CAPSAICIN
BindingDB_50306816	DULERA; FORMOTEROL FUMARATE
BindingDB_50307814	SANCUSO; GRANISETRON
BindingDB_50308029	HALDOL; HALOPERIDOL
BindingDB_50311470	ERLOTINIB HYDROCHLORIDE; ERLOTINIB HYDROCHLORIDE
BindingDB_50311471	TYKERB; LAPATINIB DITOSYLATE
BindingDB_50313079	MESTINON; PYRIDOSTIGMINE BROMIDE
BindingDB_50316126	BLEPH-10; SULFACETAMIDE SODIUM
BindingDB_50318300	EPLERENONE; EPLERENONE
BindingDB_50318482	SALONPAS; MENTHOL
BindingDB_50318493	NIMODIPINE; NIMODIPINE
BindingDB_50318906	AMIODARONE HYDROCHLORIDE; AMIODARONE HYDROCHLORIDE
BindingDB_50318907	ATACAND; CANDESARTAN CILEXETIL
BindingDB_50318908	CHLORPROMAZINE HYDROCHLORIDE; CHLORPROMAZINE HYDROCHLORIDE
BindingDB_50318909	LAMPRENE; CLOFAZIMINE
BindingDB_50318910	CLOPIDOGREL BISULFATE; CLOPIDOGREL BISULFATE
BindingDB_50320491	ULORIC; FEBUXOSTAT
BindingDB_50323686	VARENICLINE; VARENICLINE
BindingDB_50323751	SYPRINE; TRIENTINE HYDROCHLORIDE
BindingDB_50323776	ESCITALOPRAM; ESCITALOPRAM OXALATE
BindingDB_50324120	EPLERENONE; EPLERENONE
BindingDB_50324225	ALDACTAZIDE; SPIRONOLACTONE
BindingDB_50325274	DOBUTREX; DOBUTAMINE HYDROCHLORIDE
BindingDB_50326056	INCIVEK; TELAPREVIR
BindingDB_50326673	LORFAN; LEVALLORPHAN TARTRATE
BindingDB_50327545	A/T/S; ERYTHROMYCIN
BindingDB_50330326	RELENZA; ZANAMIVIR
BindingDB_50330953	GLYSET; MIGLITOL
BindingDB_50331514	FLUOXETINE; FLUOXETINE HYDROCHLORIDE
BindingDB_50331515	PAROXETINE HYDROCHLORIDE; PAROXETINE HYDROCHLORIDE
BindingDB_50332722	OXYTOCIN; OXYTOCIN
BindingDB_50333117	VFEND; VORICONAZOLE
BindingDB_50333118	ERAXIS; ANIDULAFUNGIN
BindingDB_50333465	ACARBOSE; ACARBOSE
BindingDB_50333646	EMCYT; ESTRAMUSTINE PHOSPHATE SODIUM
BindingDB_50333749	IOSAT; POTASSIUM IODIDE
BindingDB_50333752	NITHIODOTE; SODIUM NITRITE
BindingDB_50333755	ACETATED RINGER'S IN PLASTIC CONTAINER; POTASSIUM CHLORIDE
BindingDB_50333756	ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE; SODIUM SULFATE
BindingDB_50334150	ORAP; PIMOZIDE
BindingDB_50334788	FINASTERIDE; FINASTERIDE
BindingDB_50334960	ACTIGALL; URSODIOL
BindingDB_50334986	SELZENTRY; MARAVIROC
BindingDB_50335519	VANCOLED; VANCOMYCIN HYDROCHLORIDE
BindingDB_50335520	RIFADIN; RIFAMPIN
BindingDB_50335521	MINOCIN; MINOCYCLINE HYDROCHLORIDE
BindingDB_50335522	LINCOCIN; LINCOMYCIN HYDROCHLORIDE
BindingDB_50335523	CEFOTAXIME; CEFOTAXIME SODIUM
BindingDB_50335563	CEFOXITIN; CEFOXITIN SODIUM
BindingDB_50336273	NALFON; FENOPROFEN CALCIUM
BindingDB_50336507	DOW-ISONIAZID; ISONIAZID
BindingDB_50336640	ADALAT; NIFEDIPINE
BindingDB_50336892	ARMODAFINIL; ARMODAFINIL
BindingDB_50338602	IRESSA; GEFITINIB
BindingDB_50338982	CALAN; VERAPAMIL HYDROCHLORIDE
BindingDB_50339132	TORECAN; THIETHYLPERAZINE MALATE
BindingDB_50339138	LEVOPROME; LEVOMEPROMAZINE
BindingDB_50339185	ALEVE; NAPROXEN SODIUM
BindingDB_50339815	ACETATED RINGER'S IN PLASTIC CONTAINER; SODIUM CHLORIDE
BindingDB_50339819	COLGATE TOTAL; SODIUM FLUORIDE
BindingDB_50339943	MYTELASE; AMBENONIUM CHLORIDE
BindingDB_50340481	AVODART; DUTASTERIDE
BindingDB_50340677	ADRUCIL; FLUOROURACIL
BindingDB_50340678	FLOXURIDINE; FLOXURIDINE
BindingDB_50340915	CAPRELSA; VANDETANIB
BindingDB_50341448	ASTELIN; AZELASTINE HYDROCHLORIDE
BindingDB_50342148	ARICEPT; DONEPEZIL HYDROCHLORIDE
BindingDB_50342600	EXELON; RIVASTIGMINE
BindingDB_50343352	COUMADIN; WARFARIN SODIUM
BindingDB_50343413	TORISEL; TEMSIROLIMUS
BindingDB_50344284	SOLIFENACIN SUCCINATE; SOLIFENACIN SUCCINATE
BindingDB_50344942	A/T/S; ERYTHROMYCIN
BindingDB_50344965	CHLORPROPAMIDE; CHLORPROPAMIDE
BindingDB_50344967	NATEGLINIDE; NATEGLINIDE
BindingDB_50346881	CARBIDOPA AND LEVODOPA; CARBIDOPA
BindingDB_50346949	LORFAN; LEVALLORPHAN TARTRATE
BindingDB_50347620	XIFAXAN; RIFAXIMIN
BindingDB_50350464	AMOXICILLIN; AMOXICILLIN
BindingDB_50350465	AMCILL; AMPICILLIN/AMPICILLIN TRIHYDRATE
BindingDB_50350467	CEFADROXIL; CEFADROXIL/CEFADROXIL HEMIHYDRATE
BindingDB_50350470	MAXIPIME; CEFEPIME HYDROCHLORIDE
BindingDB_50350472	CEFTIN; CEFUROXIME AXETIL
BindingDB_50350483	BACTOCILL; OXACILLIN SODIUM
BindingDB_50350790	BUPIVACAINE HYDROCHLORIDE; BUPIVACAINE HYDROCHLORIDE
BindingDB_50350791	CHIROCAINE; LEVOBUPIVACAINE HYDROCHLORIDE
BindingDB_50351096	ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE; ASCORBIC ACID
BindingDB_50353900	ATNAA; ATROPINE
BindingDB_50354086	ISTODAX; ROMIDEPSIN
BindingDB_50354578	BUTRANS; BUPRENORPHINE
BindingDB_50354849	ADVAIR DISKUS 100/50; FLUTICASONE PROPIONATE
BindingDB_50354850	BUDESONIDE; BUDESONIDE
BindingDB_50354851	BREO ELLIPTA; FLUTICASONE FUROATE
BindingDB_50355376	ABSTRAL; FENTANYL CITRATE
BindingDB_50356108	AMILORIDE HYDROCHLORIDE; AMILORIDE HYDROCHLORIDE
BindingDB_50357211	AMICAR; AMINOCAPROIC ACID
BindingDB_50359766	REVATIO; SILDENAFIL CITRATE
BindingDB_50360454	TYKERB; LAPATINIB DITOSYLATE
BindingDB_50360468	KORLYM; MIFEPRISTONE
BindingDB_50360523	GILENYA; FINGOLIMOD
BindingDB_50362895	INFUVITE PEDIATRIC; RIBOFLAVIN
BindingDB_50363282	SANCUSO; GRANISETRON
BindingDB_50366389	GENTAMICIN; GENTAMICIN SULFATE
BindingDB_50366435	SANDOSTATIN; OCTREOTIDE ACETATE
BindingDB_50366565	RENACIDIN; GLUCONOLACTONE
BindingDB_50366619	AMLODIPINE,VALSARTAN AND HYDROCHLOROTHIAZIDE; AMLODIPINE
BindingDB_50366778	AKTOB; TOBRAMYCIN
BindingDB_50366799	TUBOCURARINE CHLORIDE; TUBOCURARINE CHLORIDE
BindingDB_50366816	ABACAVIR; ABACAVIR
BindingDB_50366817	ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE; LAMIVUDINE
BindingDB_50366822	ZAGAM; SPARFLOXACIN
BindingDB_50366824	AVELOX; MOXIFLOXACIN HYDROCHLORIDE
BindingDB_50366825	GEODON; ZIPRASIDONE HYDROCHLORIDE
BindingDB_50366826	IQUIX; LEVOFLOXACIN
BindingDB_50366943	MEMBRANEBLUE; TRYPAN BLUE
BindingDB_50366944	EVANS BLUE; EVANS BLUE
BindingDB_50367254	ENALAPRILAT; ENALAPRILAT
BindingDB_50367298	CARDENE; NICARDIPINE HYDROCHLORIDE
BindingDB_50367333	ADVIL ALLERGY AND CONGESTION RELIEF; CHLORPHENIRAMINE MALEATE
BindingDB_50367343	BEROCCA PN; FOLIC ACID
